Date,Instrument,Expiry,Option Type,Strike Price,Open,High,Low,Close,Settlement Price,Open Interest,No. of Contracts,Value (Rs. lakhs)
29-Aug-08,FUTCUR,25-Sep-08,-,-,44.25,45,43.8,44.0325,44.0325,"13,641","42,964","18,865"
01-Sep-08,FUTCUR,25-Sep-08,-,-,44.1,44.34,44.1,44.28,44.28,"22,066","24,033","10,636"
02-Sep-08,FUTCUR,25-Sep-08,-,-,44.22,44.6175,44.22,44.53,44.53,"27,707","38,220","16,980"
04-Sep-08,FUTCUR,25-Sep-08,-,-,44.56,44.62,44.31,44.4275,44.4275,"24,238","36,492","16,221"
05-Sep-08,FUTCUR,25-Sep-08,-,-,44.55,44.82,44.46,44.7725,44.7725,"25,387","35,108","15,675"
08-Sep-08,FUTCUR,25-Sep-08,-,-,44.4,44.7525,44.2475,44.7375,44.7375,"25,336","52,150","23,198"
09-Sep-08,FUTCUR,25-Sep-08,-,-,44.755,45.1,44.755,44.9075,44.9075,"23,402","52,851","23,748"
10-Sep-08,FUTCUR,25-Sep-08,-,-,45.05,45.3375,45,45.3,45.3,"32,576","41,460","18,729"
11-Sep-08,FUTCUR,25-Sep-08,-,-,45.35,45.76,45.35,45.71,45.71,"38,394","46,829","21,370"
12-Sep-08,FUTCUR,25-Sep-08,-,-,45.6,45.9425,45.6,45.9125,45.9125,"44,550","37,733","17,290"
15-Sep-08,FUTCUR,25-Sep-08,-,-,45.75,46.23,45.6,46.1775,46.1775,"43,190","42,693","19,648"
16-Sep-08,FUTCUR,25-Sep-08,-,-,46.39,47,46.35,46.87,46.87,"60,278","80,941","37,849"
17-Sep-08,FUTCUR,25-Sep-08,-,-,46.6,46.78,46.3525,46.44,46.44,"61,660","61,956","28,808"
18-Sep-08,FUTCUR,25-Sep-08,-,-,46.3,46.83,46.3,46.495,46.495,"52,516","67,103","31,313"
19-Sep-08,FUTCUR,25-Sep-08,-,-,46.4,46.4575,45.79,45.89,45.89,"44,739","54,284","25,096"
22-Sep-08,FUTCUR,25-Sep-08,-,-,45.7,45.7,45.28,45.465,45.465,"37,449","42,043","19,110"
23-Sep-08,FUTCUR,25-Sep-08,-,-,45.4,45.93,45.3,45.815,45.815,"40,046","58,909","26,914"
24-Sep-08,FUTCUR,25-Sep-08,-,-,45.72,46.1,45.7175,45.975,45.975,"31,604","43,241","19,837"
25-Sep-08,FUTCUR,25-Sep-08,-,-,46.2,46.34,45.85,46.25,46.25,"25,041","11,886","5,496"
26-Sep-08,FUTCUR,27-Oct-08,-,-,45.6,46.59,45.6,46.555,46.555,"58,237","42,337","19,651"
29-Sep-08,FUTCUR,27-Oct-08,-,-,46.7,47.1,46.7,46.99,46.99,"54,800","60,126","28,233"
30-Sep-08,FUTCUR,27-Oct-08,-,-,47.29,47.48,47.03,47.135,47.135,"72,847","61,082","28,841"
01-Oct-08,FUTCUR,27-Oct-08,-,-,47.17,47.26,46.66,46.7375,46.7375,"81,213","88,038","41,316"
03-Oct-08,FUTCUR,27-Oct-08,-,-,47,47.28,46.87,47.1625,47.1625,"103,263","88,111","41,466"
06-Oct-08,FUTCUR,27-Oct-08,-,-,47.32,47.78,47.32,47.745,47.745,"106,692","74,396","35,397"
07-Oct-08,FUTCUR,27-Oct-08,-,-,48,48.08,47.65,47.83,47.83,"122,095","115,307","55,220"
08-Oct-08,FUTCUR,27-Oct-08,-,-,48.2,48.685,47.82,48.12,48.12,"118,067","115,188","55,783"
10-Oct-08,FUTCUR,27-Oct-08,-,-,48.51,49.21,48.08,48.535,48.535,"108,801","180,867","88,105"
13-Oct-08,FUTCUR,27-Oct-08,-,-,48.55,48.5525,48.09,48.33,48.33,"108,934","101,546","49,077"
14-Oct-08,FUTCUR,27-Oct-08,-,-,48.1,48.27,47.805,48.215,48.215,"114,977","107,161","51,479"
15-Oct-08,FUTCUR,27-Oct-08,-,-,48.355,48.76,48.3375,48.66,48.66,"104,100","105,368","51,266"
16-Oct-08,FUTCUR,27-Oct-08,-,-,49,49.25,48.87,49.03,49.03,"107,249","108,647","53,277"
17-Oct-08,FUTCUR,27-Oct-08,-,-,48.69,49.16,48.69,49.055,49.055,"99,590","117,729","57,589"
20-Oct-08,FUTCUR,27-Oct-08,-,-,48.5,49.11,48.5,49.09,49.09,"102,327","96,188","47,095"
21-Oct-08,FUTCUR,27-Oct-08,-,-,49.1,49.4025,48.95,49.38,49.38,"99,797","84,398","41,546"
22-Oct-08,FUTCUR,27-Oct-08,-,-,48.5,49.71,48.5,49.4925,49.4925,"82,954","146,001","72,354"
23-Oct-08,FUTCUR,27-Oct-08,-,-,49.8,50.91,49.6925,49.9175,49.9175,"72,652","72,732","36,309"
24-Oct-08,FUTCUR,27-Oct-08,-,-,50,50.19,49.9,50.0775,50.0775,"59,465","60,265","30,177"
27-Oct-08,FUTCUR,27-Oct-08,-,-,50.06,50.1775,49.98,50.105,50.09,"48,882","22,456","11,248"
28-Oct-08,FUTCUR,26-Nov-08,-,-,50.54,50.8,50.4,50.4425,50.4425,"142,589","10,776","5,444"
29-Oct-08,FUTCUR,26-Nov-08,-,-,50.3,50.535,50.1,50.1375,50.1375,"146,002","59,743","30,097"
31-Oct-08,FUTCUR,26-Nov-08,-,-,49.9,50.08,49.62,49.9675,49.9675,"143,720","73,546","36,652"
03-Nov-08,FUTCUR,26-Nov-08,-,-,49.65,49.65,48.9,48.945,48.945,"123,549","124,176","60,991"
04-Nov-08,FUTCUR,26-Nov-08,-,-,49.7,49.7,48.06,48.1825,48.1825,"128,230","130,684","63,527"
05-Nov-08,FUTCUR,26-Nov-08,-,-,47.6,47.85,47.02,47.7525,47.7525,"111,304","141,543","67,210"
06-Nov-08,FUTCUR,26-Nov-08,-,-,47.9,48.24,47.78,47.9525,47.9525,"108,433","116,885","56,068"
07-Nov-08,FUTCUR,26-Nov-08,-,-,48.14,48.24,47.91,47.9925,47.9925,"109,871","103,157","49,527"
10-Nov-08,FUTCUR,26-Nov-08,-,-,47.795,49,47.375,47.6,47.6,"106,282","99,806","47,483"
11-Nov-08,FUTCUR,26-Nov-08,-,-,47.3,48.295,47.3,48.2,48.2,"100,625","130,029","62,333"
12-Nov-08,FUTCUR,26-Nov-08,-,-,48.51,49.5,48.51,49.3775,49.3775,"93,550","187,861","92,143"
14-Nov-08,FUTCUR,26-Nov-08,-,-,49.35,49.62,49.09,49.1475,49.1475,"89,559","197,296","97,384"
17-Nov-08,FUTCUR,26-Nov-08,-,-,49.15,49.38,48.81,49.33,49.33,"89,053","155,349","76,326"
18-Nov-08,FUTCUR,26-Nov-08,-,-,49.51,49.86,49.51,49.77,49.77,"87,876","159,650","79,434"
19-Nov-08,FUTCUR,26-Nov-08,-,-,49.8,50.38,49.705,49.995,49.995,"79,089","121,250","60,483"
20-Nov-08,FUTCUR,26-Nov-08,-,-,50.4,50.655,50.03,50.15,50.15,"83,948","203,034","102,405"
21-Nov-08,FUTCUR,26-Nov-08,-,-,50.5,50.7,50,50.1575,50.1575,"71,005","176,966","88,809"
24-Nov-08,FUTCUR,26-Nov-08,-,-,50.2,50.295,50.02,50.1425,50.1425,"66,489","150,531","75,478"
25-Nov-08,FUTCUR,26-Nov-08,-,-,49.9,50.155,49.49,50.105,50.105,"52,821","134,352","67,146"
26-Nov-08,FUTCUR,26-Nov-08,-,-,49.9,50.0375,49.83,49.855,49.85,"43,785","58,506","29,210"
28-Nov-08,FUTCUR,29-Dec-08,-,-,49.8025,50.38,49.8025,50.315,50.315,"118,206","155,141","77,829"
01-Dec-08,FUTCUR,29-Dec-08,-,-,50.4,50.62,50.13,50.5675,50.5675,"117,682","184,118","92,832"
02-Dec-08,FUTCUR,29-Dec-08,-,-,50.73,50.84,50.36,50.43,50.43,"125,271","181,661","92,023"
03-Dec-08,FUTCUR,29-Dec-08,-,-,50.23,50.31,50.03,50.24,50.24,"133,216","185,666","93,153"
04-Dec-08,FUTCUR,29-Dec-08,-,-,50.16,50.165,49.715,49.9525,49.9525,"127,231","212,601","106,213"
05-Dec-08,FUTCUR,29-Dec-08,-,-,49.99,50.1,49.675,49.7775,49.7775,"127,962","199,502","99,415"
08-Dec-08,FUTCUR,29-Dec-08,-,-,49.2625,49.67,49.2625,49.62,49.62,"126,683","197,796","97,797"
10-Dec-08,FUTCUR,29-Dec-08,-,-,50.3,50.3,49,49.0975,49.0975,"123,765","242,574","119,322"
11-Dec-08,FUTCUR,29-Dec-08,-,-,48.98,48.98,48.3725,48.4525,48.4525,"117,900","220,425","107,210"
12-Dec-08,FUTCUR,29-Dec-08,-,-,48.515,49.02,48.3775,48.73,48.73,"113,006","214,538","104,504"
15-Dec-08,FUTCUR,29-Dec-08,-,-,48.25,48.3225,48.0025,48.1725,48.1725,"102,194","226,832","109,139"
16-Dec-08,FUTCUR,29-Dec-08,-,-,48.2,48.2,47.89,47.9875,47.9875,"94,300","145,810","69,958"
17-Dec-08,FUTCUR,29-Dec-08,-,-,47.55,47.71,47.3,47.67,47.67,"89,155","232,098","110,316"
18-Dec-08,FUTCUR,29-Dec-08,-,-,47.6,47.6,46.905,47.0175,47.0175,"80,549","196,005","92,618"
19-Dec-08,FUTCUR,29-Dec-08,-,-,47.2,47.445,46.94,47.3875,47.3875,"87,355","166,399","78,580"
22-Dec-08,FUTCUR,29-Dec-08,-,-,47.34,48.25,47.34,48.0475,48.0475,"80,181","137,351","65,510"
23-Dec-08,FUTCUR,29-Dec-08,-,-,48.5,48.945,48.01,48.8325,48.8325,"79,091","171,591","83,486"
24-Dec-08,FUTCUR,29-Dec-08,-,-,49,49.225,48.05,48.1725,48.1725,"67,393","179,510","87,278"
26-Dec-08,FUTCUR,29-Dec-08,-,-,47.3,48.5975,47.3,48.4475,48.4475,"52,133","173,583","83,640"
29-Dec-08,FUTCUR,29-Dec-08,-,-,48.8,48.85,48.165,48.74,48.76,"44,513","48,762","23,722"
30-Dec-08,FUTCUR,28-Jan-09,-,-,48.41,48.7625,48.41,48.5775,48.5775,"149,324","184,272","89,593"
31-Dec-08,FUTCUR,28-Jan-09,-,-,48.45,48.8675,48.42,48.7875,48.7875,"153,024","185,709","90,343"
01-Jan-09,FUTCUR,28-Jan-09,-,-,48.6,48.89,48.58,48.8125,48.8125,"157,986","96,912","47,272"
02-Jan-09,FUTCUR,28-Jan-09,-,-,48.6,49.1675,48.6,48.8525,48.8525,"155,087","193,237","94,671"
05-Jan-09,FUTCUR,28-Jan-09,-,-,48.45,48.79,48.12,48.6625,48.6625,"160,076","234,483","113,882"
06-Jan-09,FUTCUR,28-Jan-09,-,-,48.75,49.3,48.59,48.76,48.76,"158,226","204,498","99,652"
07-Jan-09,FUTCUR,28-Jan-09,-,-,48.645,48.9275,48.4375,48.7775,48.7775,"164,677","190,793","92,847"
09-Jan-09,FUTCUR,28-Jan-09,-,-,48.9,49.28,48.45,48.55,48.55,"141,977","260,992","127,461"
12-Jan-09,FUTCUR,28-Jan-09,-,-,48.5,48.98,48.41,48.925,48.925,"141,515","197,361","96,227"
13-Jan-09,FUTCUR,28-Jan-09,-,-,49.2,49.48,48.8,49.1425,49.1425,"144,651","240,427","117,812"
14-Jan-09,FUTCUR,28-Jan-09,-,-,49.14,49.15,48.725,48.9,48.9,"140,575","170,359","83,232"
15-Jan-09,FUTCUR,28-Jan-09,-,-,49.11,49.3,48.95,49.08,49.08,"144,957","210,620","103,409"
16-Jan-09,FUTCUR,28-Jan-09,-,-,49,49,48.755,48.83,48.83,"142,089","181,970","88,863"
19-Jan-09,FUTCUR,28-Jan-09,-,-,48.65,48.755,48.5525,48.73,48.73,"142,042","151,969","73,925"
20-Jan-09,FUTCUR,28-Jan-09,-,-,48.85,49.2125,48.85,49.1875,49.1875,"164,389","235,248","115,407"
21-Jan-09,FUTCUR,28-Jan-09,-,-,49.3,49.39,49.0625,49.19,49.19,"161,260","303,794","149,457"
22-Jan-09,FUTCUR,28-Jan-09,-,-,49,49.19,48.71,49.1625,49.1625,"151,596","195,456","95,787"
23-Jan-09,FUTCUR,28-Jan-09,-,-,49.25,49.28,49.1175,49.2425,49.2425,"159,204","195,328","96,106"
27-Jan-09,FUTCUR,28-Jan-09,-,-,49.1,49.1,48.75,48.9075,48.9075,"101,880","306,572","149,748"
28-Jan-09,FUTCUR,28-Jan-09,-,-,48.94,48.94,48.795,48.86,48.87,"73,430","105,142","51,354"
29-Jan-09,FUTCUR,25-Feb-09,-,-,48.9275,49.1275,48.9,49.1075,49.1075,"193,198","173,889","85,269"
30-Jan-09,FUTCUR,25-Feb-09,-,-,49.09,49.165,48.9,48.93,48.93,"212,634","267,239","131,039"
02-Feb-09,FUTCUR,25-Feb-09,-,-,49,49.13,48.985,49.03,49.03,"211,839","218,729","107,340"
03-Feb-09,FUTCUR,25-Feb-09,-,-,49.02,49.03,48.82,48.9175,48.9175,"200,549","228,116","111,544"
04-Feb-09,FUTCUR,25-Feb-09,-,-,48.8,48.88,48.6725,48.845,48.845,"205,231","266,929","130,206"
05-Feb-09,FUTCUR,25-Feb-09,-,-,48.9,48.95,48.8,48.84,48.84,"215,598","228,478","111,675"
06-Feb-09,FUTCUR,25-Feb-09,-,-,48.7675,48.835,48.74,48.7575,48.7575,"217,626","212,535","103,662"
09-Feb-09,FUTCUR,25-Feb-09,-,-,48.6975,48.71,48.62,48.655,48.655,"203,675","222,310","108,163"
10-Feb-09,FUTCUR,25-Feb-09,-,-,48.7,48.78,48.655,48.77,48.77,"207,548","234,887","114,512"
11-Feb-09,FUTCUR,25-Feb-09,-,-,48.85,48.9,48.715,48.75,48.75,"211,415","217,249","106,049"
12-Feb-09,FUTCUR,25-Feb-09,-,-,48.7,48.865,48.7,48.85,48.85,"207,410","183,813","89,682"
13-Feb-09,FUTCUR,25-Feb-09,-,-,48.83,48.83,48.6525,48.705,48.705,"200,927","247,826","120,757"
16-Feb-09,FUTCUR,25-Feb-09,-,-,48.65,48.845,48.65,48.82,48.82,"209,236","187,909","91,632"
17-Feb-09,FUTCUR,25-Feb-09,-,-,48.85,49.7,48.85,49.605,49.605,"236,519","482,696","238,166"
18-Feb-09,FUTCUR,25-Feb-09,-,-,49.79,50.0725,49.5875,50.03,50.03,"176,131","547,910","273,114"
19-Feb-09,FUTCUR,25-Feb-09,-,-,49.9,49.9875,49.6275,49.66,49.66,"148,708","373,152","185,874"
20-Feb-09,FUTCUR,25-Feb-09,-,-,49.6525,49.99,49.6525,49.7875,49.7875,"137,312","284,076","141,649"
24-Feb-09,FUTCUR,25-Feb-09,-,-,50,50,49.82,49.9175,49.9175,"87,092","376,095","187,679"
25-Feb-09,FUTCUR,25-Feb-09,-,-,49.84,49.855,49.74,49.825,49.82,"69,445","108,973","54,282"
26-Feb-09,FUTCUR,27-Mar-09,-,-,50,50.5325,50,50.4775,50.4775,"252,056","422,111","212,590"
27-Feb-09,FUTCUR,27-Mar-09,-,-,50.56,51.185,50.56,51.1075,51.1075,"261,465","405,817","206,572"
02-Mar-09,FUTCUR,27-Mar-09,-,-,51.49,52.1025,51.45,52.0525,52.0525,"231,837","505,457","262,179"
03-Mar-09,FUTCUR,27-Mar-09,-,-,52.12,52.37,51.6,52.1225,52.1225,"207,772","410,865","213,446"
04-Mar-09,FUTCUR,27-Mar-09,-,-,51.86,52.18,51.64,51.715,51.715,"204,934","435,044","225,800"
05-Mar-09,FUTCUR,27-Mar-09,-,-,51.6,52.1725,51.51,51.85,51.85,"200,652","398,499","206,821"
06-Mar-09,FUTCUR,27-Mar-09,-,-,52,52.02,51.575,51.765,51.765,"208,769","424,944","219,845"
09-Mar-09,FUTCUR,27-Mar-09,-,-,51.79,52.115,51.6725,52.05,52.05,"205,104","421,111","218,728"
12-Mar-09,FUTCUR,27-Mar-09,-,-,51.71,51.9975,51.65,51.97,51.97,"199,275","364,134","188,744"
13-Mar-09,FUTCUR,27-Mar-09,-,-,51.7625,51.865,51.6125,51.64,51.64,"202,704","386,404","199,938"
16-Mar-09,FUTCUR,27-Mar-09,-,-,51.55,51.77,51.0125,51.475,51.475,"196,043","415,635","214,312"
17-Mar-09,FUTCUR,27-Mar-09,-,-,51.56,51.57,51.2975,51.5275,51.5275,"186,754","380,945","195,961"
18-Mar-09,FUTCUR,27-Mar-09,-,-,51.4,51.585,51.385,51.4425,51.4425,"194,145","441,174","227,026"
19-Mar-09,FUTCUR,27-Mar-09,-,-,51.35,51.35,50.38,50.5075,50.5075,"199,853","631,990","320,918"
20-Mar-09,FUTCUR,27-Mar-09,-,-,50.45,50.85,50.1025,50.715,50.715,"166,354","674,466","339,789"
23-Mar-09,FUTCUR,27-Mar-09,-,-,50.7,50.7,50.4625,50.535,50.535,"153,316","352,750","178,331"
24-Mar-09,FUTCUR,27-Mar-09,-,-,50.31,50.8175,50.2525,50.785,50.785,"154,661","588,785","297,668"
25-Mar-09,FUTCUR,27-Mar-09,-,-,50.9525,51.1,50.705,50.76,50.76,"125,926","473,151","240,791"
26-Mar-09,FUTCUR,27-Mar-09,-,-,50.71,50.71,50.515,50.53,50.54,"115,785","149,178","75,480"
30-Mar-09,FUTCUR,28-Apr-09,-,-,50.945,51.6225,50.945,51.4675,51.4675,"200,741","492,798","252,997"
31-Mar-09,FUTCUR,28-Apr-09,-,-,51.335,51.335,50.8775,50.9175,50.9175,"210,539","467,198","238,612"
02-Apr-09,FUTCUR,28-Apr-09,-,-,50.61,50.61,50.4025,50.51,50.51,"201,552","381,876","192,828"
06-Apr-09,FUTCUR,28-Apr-09,-,-,50.015,50.2775,49.83,50.1825,50.1825,"188,096","302,221","151,540"
08-Apr-09,FUTCUR,28-Apr-09,-,-,50.51,50.735,50.2575,50.305,50.305,"170,563","407,867","205,958"
09-Apr-09,FUTCUR,28-Apr-09,-,-,50.1175,50.2,49.945,50.075,50.075,"169,240","533,317","267,038"
13-Apr-09,FUTCUR,28-Apr-09,-,-,49.9,50.04,49.875,49.97,49.97,"175,246","318,648","159,172"
15-Apr-09,FUTCUR,28-Apr-09,-,-,50.11,50.165,49.67,49.7025,49.7025,"176,157","466,871","232,816"
16-Apr-09,FUTCUR,28-Apr-09,-,-,49.59,49.8925,49.405,49.8425,49.8425,"177,568","509,331","252,921"
17-Apr-09,FUTCUR,28-Apr-09,-,-,49.7525,49.97,49.685,49.89,49.89,"191,249","435,361","216,932"
20-Apr-09,FUTCUR,28-Apr-09,-,-,50.05,50.3625,49.9225,50.325,50.325,"193,577","454,152","227,651"
21-Apr-09,FUTCUR,28-Apr-09,-,-,50.5475,50.68,50.2675,50.48,50.48,"205,560","492,884","248,584"
22-Apr-09,FUTCUR,28-Apr-09,-,-,50.36,50.46,50.05,50.3675,50.3675,"204,143","548,559","276,106"
23-Apr-09,FUTCUR,28-Apr-09,-,-,50.4,50.45,49.97,50.0475,50.0475,"178,235","552,092","277,041"
24-Apr-09,FUTCUR,28-Apr-09,-,-,49.86,50.07,49.76,49.86,49.86,"173,531","516,419","257,723"
27-Apr-09,FUTCUR,28-Apr-09,-,-,50,50.17,49.8,49.97,49.98,"127,526","188,100","94,114"
29-Apr-09,FUTCUR,27-May-09,-,-,50.54,50.54,50.06,50.23,50.23,"170,745","443,862","223,277"
04-May-09,FUTCUR,27-May-09,-,-,49.95,50.025,49.685,49.9925,49.9925,"167,372","392,596","195,559"
05-May-09,FUTCUR,27-May-09,-,-,49.69,49.8,49.425,49.475,49.475,"175,194","543,396","269,536"
06-May-09,FUTCUR,27-May-09,-,-,49.5025,49.7675,49.4225,49.735,49.735,"155,551","650,658","322,829"
07-May-09,FUTCUR,27-May-09,-,-,49.54,49.585,49.2725,49.33,49.33,"199,765","568,883","281,318"
08-May-09,FUTCUR,27-May-09,-,-,49.45,49.54,49.2975,49.37,49.37,"163,240","610,909","301,858"
11-May-09,FUTCUR,27-May-09,-,-,49.075,49.6,49,49.5375,49.5375,"157,445","596,215","294,371"
12-May-09,FUTCUR,27-May-09,-,-,49.6,49.72,49.2825,49.405,49.405,"214,803","841,178","416,288"
13-May-09,FUTCUR,27-May-09,-,-,49.28,49.7475,49.28,49.7075,49.7075,"207,982","645,144","319,237"
14-May-09,FUTCUR,27-May-09,-,-,49.95,50.15,49.8,49.85,49.85,"184,015","685,787","342,195"
15-May-09,FUTCUR,27-May-09,-,-,49.71,49.71,49.48,49.565,49.565,"199,185","573,473","284,458"
18-May-09,FUTCUR,27-May-09,-,-,48.8,48.8,47.81,47.9725,47.9725,"226,434","959,805","461,935"
19-May-09,FUTCUR,27-May-09,-,-,47.7,47.9675,47.33,47.8375,47.8375,"228,544","964,727","460,008"
20-May-09,FUTCUR,27-May-09,-,-,48.3775,48.39,47.485,47.53,47.53,"232,240","629,440","300,069"
21-May-09,FUTCUR,27-May-09,-,-,47.6,47.6,47.3,47.37,47.37,"253,650","622,845","295,372"
22-May-09,FUTCUR,27-May-09,-,-,47.34,47.34,47,47.1325,47.1325,"195,369","561,732","264,872"
25-May-09,FUTCUR,27-May-09,-,-,47.2025,47.48,47.18,47.32,47.32,"173,211","524,338","248,250"
26-May-09,FUTCUR,27-May-09,-,-,47.44,47.9325,47.41,47.9125,47.9125,"132,187","613,280","292,492"
27-May-09,FUTCUR,27-May-09,-,-,47.5975,47.66,47.4875,47.63,47.67,"84,544","220,171","104,749"
28-May-09,FUTCUR,26-Jun-09,-,-,48.05,48.25,47.7,47.7625,47.7625,"259,770","577,012","276,356"
29-May-09,FUTCUR,26-Jun-09,-,-,47.605,47.675,47.2175,47.25,47.25,"278,852","567,084","268,885"
01-Jun-09,FUTCUR,26-Jun-09,-,-,47,47.185,46.985,47.0875,47.0875,"276,428","556,363","261,920"
02-Jun-09,FUTCUR,26-Jun-09,-,-,47.0725,47.365,47.05,47.1325,47.1325,"290,890","649,677","306,797"
03-Jun-09,FUTCUR,26-Jun-09,-,-,47,47.1825,46.86,47.0825,47.0825,"276,423","701,156","329,599"
04-Jun-09,FUTCUR,26-Jun-09,-,-,47.32,47.415,47.155,47.26,47.26,"296,627","579,633","274,090"
05-Jun-09,FUTCUR,26-Jun-09,-,-,47.19,47.295,47.1,47.215,47.215,"286,567","432,410","204,086"
08-Jun-09,FUTCUR,26-Jun-09,-,-,47.3125,47.8275,47.31,47.7075,47.7075,"255,787","640,092","304,512"
09-Jun-09,FUTCUR,26-Jun-09,-,-,47.8475,47.8725,47.4725,47.6075,47.6075,"264,887","724,252","345,102"
10-Jun-09,FUTCUR,26-Jun-09,-,-,47.4175,47.44,47.2875,47.36,47.36,"272,415","528,793","250,445"
11-Jun-09,FUTCUR,26-Jun-09,-,-,47.46,47.6925,47.42,47.655,47.655,"273,646","648,023","308,227"
12-Jun-09,FUTCUR,26-Jun-09,-,-,47.4875,47.69,47.44,47.6425,47.6425,"217,929","654,420","311,370"
15-Jun-09,FUTCUR,26-Jun-09,-,-,47.7375,48.055,47.7375,47.8675,47.8675,"246,139","701,280","336,133"
16-Jun-09,FUTCUR,26-Jun-09,-,-,48.045,48.045,47.75,47.82,47.82,"232,222","602,596","288,387"
17-Jun-09,FUTCUR,26-Jun-09,-,-,47.9075,48.215,47.86,48.16,48.16,"240,868","694,456","333,534"
18-Jun-09,FUTCUR,26-Jun-09,-,-,48.0125,48.34,47.9025,48.2775,48.2775,"220,613","728,881","351,360"
19-Jun-09,FUTCUR,26-Jun-09,-,-,48.25,48.305,48.0825,48.11,48.11,"216,258","616,158","296,861"
22-Jun-09,FUTCUR,26-Jun-09,-,-,48.0125,48.68,48.0125,48.6325,48.6325,"204,673","977,190","473,610"
23-Jun-09,FUTCUR,26-Jun-09,-,-,48.84,48.955,48.54,48.565,48.565,"174,082","769,809","375,503"
24-Jun-09,FUTCUR,26-Jun-09,-,-,48.45,48.59,48.4,48.54,48.54,"157,489","676,710","328,167"
25-Jun-09,FUTCUR,26-Jun-09,-,-,48.44,48.72,48.44,48.65,48.65,"128,568","596,908","290,027"
26-Jun-09,FUTCUR,26-Jun-09,-,-,48.505,48.565,48.4625,48.505,48.51,"89,780","190,978","92,675"
29-Jun-09,FUTCUR,29-Jul-09,-,-,48.26,48.3925,48.175,48.2225,48.2225,"248,705","655,462","316,325"
30-Jun-09,FUTCUR,29-Jul-09,-,-,48.0675,48.1725,47.9375,48.03,48.03,"227,041","801,654","385,074"
01-Jul-09,FUTCUR,29-Jul-09,-,-,48.1525,48.2675,47.975,48.0125,48.0125,"238,473","831,418","400,083"
02-Jul-09,FUTCUR,29-Jul-09,-,-,47.875,48.135,47.825,48.07,48.07,"258,918","813,786","390,487"
03-Jul-09,FUTCUR,29-Jul-09,-,-,48.14,48.27,47.955,48.0125,48.0125,"285,567","662,262","318,459"
06-Jul-09,FUTCUR,29-Jul-09,-,-,48.03,48.65,47.925,48.5725,48.5725,"270,533","1,164,129","562,915"
07-Jul-09,FUTCUR,29-Jul-09,-,-,48.5525,48.8,48.36,48.53,48.53,"289,705","880,178","427,654"
08-Jul-09,FUTCUR,29-Jul-09,-,-,48.7475,49.01,48.7,48.96,48.96,"278,121","761,359","372,366"
09-Jul-09,FUTCUR,29-Jul-09,-,-,49.06,49.0875,48.7225,48.8,48.8,"262,081","850,773","416,146"
10-Jul-09,FUTCUR,29-Jul-09,-,-,48.76,49.06,48.6125,49.0275,49.0275,"274,989","789,799","385,644"
13-Jul-09,FUTCUR,29-Jul-09,-,-,49.1525,49.4825,49.1225,49.15,49.15,"272,789","1,106,062","545,270"
14-Jul-09,FUTCUR,29-Jul-09,-,-,48.8675,49.0375,48.815,48.9875,48.9875,"326,123","902,543","441,501"
15-Jul-09,FUTCUR,29-Jul-09,-,-,48.9,48.915,48.66,48.6925,48.6925,"356,431","851,156","415,022"
16-Jul-09,FUTCUR,29-Jul-09,-,-,48.5475,48.8975,48.5,48.7375,48.7375,"334,653","765,042","372,925"
17-Jul-09,FUTCUR,29-Jul-09,-,-,48.6,48.785,48.6,48.7525,48.7525,"357,288","531,143","258,701"
20-Jul-09,FUTCUR,29-Jul-09,-,-,48.5975,48.5975,48.2,48.2775,48.2775,"339,810","874,001","422,835"
21-Jul-09,FUTCUR,29-Jul-09,-,-,48.2325,48.4825,48.2325,48.4625,48.4625,"342,776","852,194","412,140"
22-Jul-09,FUTCUR,29-Jul-09,-,-,48.6,48.63,48.31,48.5525,48.5525,"332,683","761,139","369,123"
23-Jul-09,FUTCUR,29-Jul-09,-,-,48.44,48.515,48.36,48.475,48.475,"307,505","731,439","354,417"
24-Jul-09,FUTCUR,29-Jul-09,-,-,48.355,48.49,48.2175,48.2425,48.2425,"279,631","599,303","289,692"
27-Jul-09,FUTCUR,29-Jul-09,-,-,48.18,48.255,48.09,48.1675,48.1675,"232,118","748,841","360,839"
28-Jul-09,FUTCUR,29-Jul-09,-,-,48.2325,48.3075,48.135,48.2125,48.2125,"177,859","704,081","339,414"
29-Jul-09,FUTCUR,29-Jul-09,-,-,48.315,48.4825,48.29,48.47,48.47,"176,954","309,465","149,662"
30-Jul-09,FUTCUR,27-Aug-09,-,-,48.5875,48.7175,48.425,48.445,48.445,"289,843","670,068","325,298"
31-Jul-09,FUTCUR,27-Aug-09,-,-,48.3,48.36,48.03,48.0775,48.0775,"278,057","744,141","358,935"
03-Aug-09,FUTCUR,27-Aug-09,-,-,48,48.025,47.72,47.745,47.745,"308,715","953,613","456,726"
04-Aug-09,FUTCUR,27-Aug-09,-,-,47.595,47.835,47.505,47.82,47.82,"310,972","983,360","468,853"
05-Aug-09,FUTCUR,27-Aug-09,-,-,47.6325,47.815,47.61,47.635,47.635,"366,384","737,465","351,994"
06-Aug-09,FUTCUR,27-Aug-09,-,-,47.75,47.8325,47.62,47.785,47.785,"396,158","740,573","353,523"
07-Aug-09,FUTCUR,27-Aug-09,-,-,47.86,48.0425,47.8225,47.9625,47.9625,"383,314","797,270","382,058"
